,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
176,Engine 313/Ladder 164,44-01 244th Street,Queens,11363.0,40.766659000000004,-73.742451,11.0,19.0,1479.0,4168901.0,4081120192.0,Douglas Manor-Douglaston-Little Neck                                       
177,Engine 251,254-20 Union Turnpike,Queens,11004.0,40.744582,-73.716559,13.0,23.0,157902.0,4177508.0,4086910013.0,Glen Oaks-Floral Park-New Hyde Park                                        
178,Engine 293,89-40 87th Street,Queens,11421.0,40.689493,-73.856104,9.0,32.0,8.0,4185536.0,4089680025.0,Woodhaven                                                                  
179,Engine 285/Ladder 142,103-17 98th Street,Queens,11417.0,40.682684,-73.84219399999999,10.0,32.0,4002.0,4438526.0,4091210011.0,Ozone Park                                                                 
180,Ladder 143,101-02 Jamaica Avenue,Queens,11418.0,40.695038000000004,-73.84626800000001,9.0,32.0,28.0,4194106.0,4092860006.0,Richmond Hill                                                              
181,Squad 270/Division 13,91-45 121st Street,Queens,11418.0,40.695411,-73.82625999999999,9.0,29.0,14202.0,4196913.0,4093750007.0,Richmond Hill                                                              
182,Engine 308/Battalion 51,107-12 Lefferts Boulevard,Queens,11419.0,40.684043,-73.82310600000001,10.0,28.0,106.0,4205407.0,4095980010.0,South Ozone Park                                                           
183,Engine 298/Ladder 127/Battalion 50,153-11 Hillside Avenue,Queens,11432.0,40.70731,-73.804242,8.0,24.0,236.0,4207481.0,4097060066.0,Briarwood-Jamaica Hills                                                    
184,Engine 303/Ladder 126,104-12 Princeton Street,Queens,11435.0,40.693876,-73.806943,12.0,28.0,204.0,4214846.0,4100460014.0,Jamaica                                                                    
185,Engine 275,111-36 Merrick Boulevard,Queens,11433.0,40.694052,-73.781115,12.0,27.0,266.0,4217371.0,4102080045.0,South Jamaica                                                              
186,Engine 301/Ladder 150,91-04 197th Street,Queens,11423.0,40.714494,-73.762763,12.0,23.0,484.0,4222434.0,4104640025.0,Hollis                                                                     
187,Engine 304/Ladder 162,218-44 97th Avenue,Queens,11429.0,40.71706,-73.735871,13.0,27.0,568.0,4230875.0,4107700023.0,Queens Village                                                             
188,Engine 302/Ladder 155,143-15 Rockaway Boulevard,Queens,11436.0,40.673836,-73.795461,12.0,28.0,182.0,4261544.0,4120460002.0,Baisley Park                                                               
189,Engine 317/Ladder 165/Battalion 54,117-11 196th Street,Queens,11412.0,40.69301,-73.755814,12.0,27.0,394.0,4271743.0,4126170040.0,St. Albans                                                                 
190,Engine 311/Ladder 158,145-50 Springfield Boulevard,Queens,11413.0,40.663404,-73.759473,13.0,31.0,320.0,4286093.0,4133610200.0,Springfield Gardens South-Brookville                                       
191,Engine 314,142-04 Brookville Boulevard,Queens,11422.0,40.663992,-73.740515,13.0,31.0,654.0,4287743.0,4135380015.0,Rosedale                                                                   
192,Engine 331/Ladder 173,158-57 Cross Bay Boulevard,Queens,11414.0,40.659929999999996,-73.84004499999999,10.0,32.0,892.0,4295071.0,4141630101.0,Lindenwood-Howard Beach                                                    
